SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-03,14,10.9
Abandoned Vehicle Complaint,2019-03,15,5.8
Abandoned Vehicle Complaint,2019-03,16,11.0
Abandoned Vehicle Complaint,2019-03,17,2.7
Abandoned Vehicle Complaint,2019-03,18,6.7
Abandoned Vehicle Complaint,2019-03,19,3.9
Abandoned Vehicle Complaint,2019-03,20,8.0
Abandoned Vehicle Complaint,2019-03,21,7.6
Abandoned Vehicle Complaint,2019-03,22,12.9
Abandoned Vehicle Complaint,2019-03,23,5.7
Abandoned Vehicle Complaint,2019-03,24,13.9
Abandoned Vehicle Complaint,2019-03,25,3.8
Abandoned Vehicle Complaint,2019-03,26,10.8
Abandoned Vehicle Complaint,2019-03,27,5.6
Abandoned Vehicle Complaint,2019-03,28,6.9
Abandoned Vehicle Complaint,2019-03,29,11.9
Abandoned Vehicle Complaint,2019-03,30,12.0
Abandoned Vehicle Complaint,2019-03,31,13.9
Abandoned Vehicle Complaint,2019-03,32,17.3
Abandoned Vehicle Complaint,2019-03,33,20.7
Abandoned Vehicle Complaint,2019-03,34,4.8
Abandoned Vehicle Complaint,2019-03,35,16.6
Abandoned Vehicle Complaint,2019-03,37,12.1
Abandoned Vehicle Complaint,2019-03,38,12.8
Abandoned Vehicle Complaint,2019-03,39,12.9
Abandoned Vehicle Complaint,2019-03,40,3.1
Abandoned Vehicle Complaint,2019-03,41,17.7
Abandoned Vehicle Complaint,2019-03,42,2.7
Abandoned Vehicle Complaint,2019-03,43,2.9
Abandoned Vehicle Complaint,2019-03,44,2.7
Abandoned Vehicle Complaint,2019-03,45,1.7
Abandoned Vehicle Complaint,2019-03,46,2.6
Abandoned Vehicle Complaint,2019-03,47,0.9
Abandoned Vehicle Complaint,2019-03,48,2.9
Abandoned Vehicle Complaint,2019-03,49,10.9
Abandoned Vehicle Complaint,2019-03,50,2.3
Abandoned Vehicle Complaint,2019-03,51,2.4
Abandoned Vehicle Complaint,2019-03,52,4.9
Abandoned Vehicle Complaint,2019-03,53,4.9
Abandoned Vehicle Complaint,2019-03,54,4.9
Abandoned Vehicle Complaint,2019-03,55,4.1
Abandoned Vehicle Complaint,2019-03,56,10.8
Abandoned Vehicle Complaint,2019-03,57,10.7
Abandoned Vehicle Complaint,2019-03,58,5.0
Abandoned Vehicle Complaint,2019-03,59,13.8
Abandoned Vehicle Complaint,2019-03,60,12.4
Abandoned Vehicle Complaint,2019-03,61,3.8
Abandoned Vehicle Complaint,2019-03,62,11.8
Abandoned Vehicle Complaint,2019-03,63,10.8
Abandoned Vehicle Complaint,2019-03,64,8.7
Abandoned Vehicle Complaint,2019-03,65,10.7
Abandoned Vehicle Complaint,2019-03,66,12.0
Abandoned Vehicle Complaint,2019-03,67,10.8
Abandoned Vehicle Complaint,2019-03,68,2.2
Abandoned Vehicle Complaint,2019-03,69,3.8
Abandoned Vehicle Complaint,2019-03,70,8.7
Abandoned Vehicle Complaint,2019-03,71,5.5
Abandoned Vehicle Complaint,2019-03,72,4.8
Abandoned Vehicle Complaint,2019-03,73,7.5
Abandoned Vehicle Complaint,2019-03,74,56.6
Abandoned Vehicle Complaint,2019-03,75,13.9
Abandoned Vehicle Complaint,2019-03,76,1.6
Abandoned Vehicle Complaint,2019-03,77,10.5
Abandoned Vehicle Complaint,2019-04,1,15.4
Abandoned Vehicle Complaint,2019-04,2,9.9
Abandoned Vehicle Complaint,2019-04,3,22.0
Abandoned Vehicle Complaint,2019-04,4,5.7
Abandoned Vehicle Complaint,2019-04,5,10.8
Abandoned Vehicle Complaint,2019-04,6,20.4
Abandoned Vehicle Complaint,2019-04,7,14.0
Abandoned Vehicle Complaint,2019-04,8,11.8
Abandoned Vehicle Complaint,2019-04,9,3.8
Abandoned Vehicle Complaint,2019-04,10,10.4
Abandoned Vehicle Complaint,2019-04,11,1.4
Abandoned Vehicle Complaint,2019-04,12,4.8
Abandoned Vehicle Complaint,2019-04,13,7.4
Abandoned Vehicle Complaint,2019-04,14,9.7
Abandoned Vehicle Complaint,2019-04,15,5.9
Abandoned Vehicle Complaint,2019-04,16,11.0
Abandoned Vehicle Complaint,2019-04,17,21.5
